SpellName,SpellID
Lightning Bolt,403
Chain Lightning,421
Flame Shock,8050
Frost Shock,8056
Earth Shock,8042
Healing Surge,8004
Healing Wave,77472
Chain Heal,1064
Riptide,61295
Healing Rain,73920
Spirit Link Totem,98008
Mana Tide Totem,16191
Tidebringer,381930
Earth Shield,974
Water Shield,52127
Lightning Shield,192106
Ghost Wolf,2645
Astral Shift,108271
Spirit Walk,58875
Bloodlust,2825
Heroism,32182
Reincarnation,20608
Capacitor Totem,192058
Tremor Totem,8143
Grounding Totem,204336
Skyfury Totem,204330
Stormstrike,17364
Lava Lash,60103
Crash Lightning,187874
Ice Strike,342240
Feral Spirit,51533
Ascendance,114051
Doom Winds,384352
Elemental Blast,117014
Earthquake,61882
Storm Elemental,192249
Liquid Magma Totem,192222
Icefury,210714
Sundering,197214
Primordial Wave,326059
Ancestral Guidance,108281
Wellspring,197995
Downpour,207778
High Tide,157154
