id,spellName
443381,Cinderbrew Stein
1245376,Arcane Hunter
457533,Evasive Maneuvers
450969,Ceaseless Swarm
452310,Sigil of Algari Concordance
455821,Interdictive Injection
457928,Venom Shock
452032,Dark Swipe
449490,Synergistic Brewterializer
1234219,Footbomb to the Face
448669,Phantom Reaping
1242875,Screams of a Forgotten Sky: An'xoth
451568,Refracting Resistance
450429,Candle Conductor's Collision
451367,Candle Comfort
1239221,Diamantine Voidcore
449275,Nascent Empowerment
457684,Sureki Zealot's Oath
449954,Ethereal Powerlink
452337,Strand of the Ascended
455910,Voltaic Stormstrike
452229,Spidersting
449828,Overclocked Strike
450719,Ward of Devotion
451292,Volatile Blood Blast
449254,Entropic Reclamation
451866,Aberrant Shadows
450696,\
449386,Synergistic Brewterialization
450960,Void Pulse
447093,Ravenous Scarab
450706,Inner Resilience
