spell,damage_text,damage,percent_reported,percent_of_total
Lightning Bolt,113.82M,113820000,100.0%,22.90%
Tempest,59.43M,59430000,52.2%,11.96%
Stormstrike,54.45M,54450000,47.8%,10.95%
Windfury Attack,35.52M,35520000,31.2%,7.15%
Awakening Storms,27.80M,27800000,24.4%,5.59%
Stormblast,26.90M,26900000,23.6%,5.41%
Windstrike,22.73M,22730000,20.0%,4.57%
Tempest Strikes,19.15M,19150000,16.8%,3.85%
Doom Winds,17.85M,17850000,15.7%,3.59%
Melee,17.34M,17340000,15.2%,3.49%
Storm's Eye,17.32M,17320000,15.2%,3.48%
Flametongue Attack,14.41M,14410000,12.7%,2.90%
Lightning Rod,12.90M,12900000,11.3%,2.60%
Windstrike Off,11.57M,11570000,10.2%,2.33%
Righteous Fire,10.01M,10010000,8.8%,2.01%
Melee,9.31M,9310000,8.2%,1.87%
Ethereal Reaping,7.00M,7000000,6.2%,1.41%
Crash Lightning,5.62M,5620000,4.9%,1.13%
Ascendance,4.65M,4650000,4.1%,0.94%
Authority of Radiant Power,3.21M,3210000,2.8%,0.65%
Windlash,1.64M,1640000,1.4%,0.33%
Ice Strike,1.55M,1550000,1.4%,0.31%
Frost Shock,1.10M,1100000,1.0%,0.22%
Windlash Off,1.07M,1070000,0.9%,0.22%
Flame Shock,734K,734000,0.6%,0.15%
